"keyword","title","category","status","published","languages","id"
"batchimnm","받침 ㅇ·ㄴ·ㅁ: 끝소리 읽기","hangul","review","false","en vi es id pt-BR ko ja zh fr de","1d2576c6-a26a-4127-990a-2a81a844cf87"
"hospital","병원 예약 확인·변경 문자 읽기","reading","review","false","en vi es id pt-BR ko ja zh fr de","f13cf714-c4b3-4bff-a64e-713375f9b8ae"
"gconsonants","초성 ㄱ·ㅋ·ㄲ 소리 구별하고 읽기","hangul","review","false","en vi es id pt-BR ko ja zh fr de","fa76762f-bf12-4122-8e44-4384cbcf2dfb"
"utilnotice","아파트 공지문 읽기: 단수·단전·점검 안내","etc","review","false","en vi es id pt-BR ko ja zh fr de","133f7de1-bd55-45ea-88be-b4c33092783e"
"haircut","미용실에서 기본 커트 부탁하기","reallife","review","false","en vi es id pt-BR ko ja zh fr de","4e05bccb-234b-4f94-9f2c-e1146cb54292"
"particles","장소 조사 ‘에’ vs ‘에서’ 바로 쓰기","grammar","review","false","en vi es id pt-BR ko ja zh fr de","22d1e235-1f18-4491-8aea-795b20267bb4"
"secondhand","중고거래 채팅 읽기: 만나는 시간과 장소 찾기","reading","review","false","en vi es id pt-BR ko ja zh fr de","190240f5-4cc4-4bb0-9af2-c0a818b68a5d"
"batchimgdb","받침 ㄱ·ㄷ·ㅂ: 끝소리 멈추기 연습","hangul","review","false","en vi es id pt-BR ko ja zh fr de","4afe9799-c350-4d85-a56d-a21fc80100e4"
"atm","은행 ATM 화면: 자주 보이는 12가지 버튼 읽기","etc","review","false","en vi es id pt-BR ko ja zh fr de","45e3c056-61ce-4ed4-97ad-ab24393929ac"
"dconsonants","단어 첫소리 ㄷ·ㅌ·ㄸ: 소리 구별과 읽기","hangul","review","false","en vi es id pt-BR ko ja zh fr de","325fd249-8696-4732-b9d0-fa352e2bb704"
"permission","허락·금지 말하기: -아/어도 되다, -(으)면 안 되다, ‘안 V-아/어도 되다’ 구분","grammar","review","false","en vi es id pt-BR ko ja zh fr de","3fc9f3fb-0502-480f-ae99-a7fecca10cca"
"mobileplan","가온모바일 ‘LTE 라이트 29’ 요금제 안내","reading","review","false","en vi es id pt-BR ko ja zh fr de","4b952c25-f8cf-4656-82b7-a359954a82f1"
"recycling","집에서 쓰레기 배출·분리수거 핵심 어휘 10","vocab","review","false","en vi es id pt-BR ko ja zh fr de","b994e35e-80be-496b-9eeb-51938ff2f540"
"address","도로명주소 읽기: 로/길·건물번호, (아파트) 동·호 찾기","etc","review","false","en vi es id pt-BR ko ja zh fr de","240e03f2-434a-43b4-bdba-910b45ea78f5"
"pharmvocab","약국에서 증상 말하고 약 사기: 핵심 어휘 10","vocab","review","false","en vi es id pt-BR ko ja zh fr de","32adf12d-d117-47c2-a3b0-3dc87d275a45"
"bconsonants","첫소리 ㅂ, ㅍ, ㅃ 구별하기","hangul","review","false","en vi es id pt-BR ko ja zh fr de","ca34b1eb-16f9-450b-aba5-4e83919a8a0b"
"coldsymptoms","약국에서 증상 말하고 약 사기","reallife","review","false","en vi es id pt-BR ko ja zh fr de","ecad8d6b-71c0-4541-b1f8-f2b8848b2dd3"
"medenvelope","약 봉투 읽기: 언제, 몇 번, 며칠 먹어요?","reading","review","false","en vi es id pt-BR ko ja zh fr de","3c3e62af-06a5-49c0-85e7-84214b4d142e"
"jconsonants","자다? 차다? 짜다? — ㅈ·ㅊ·ㅉ 소리 익히기","hangul","review","false","en vi es id pt-BR ko ja zh fr de","63cf1980-d424-43d1-8ba2-5c640858173d"
"medlabel","약 봉투 읽기: 언제, 몇 번, 몇 알 먹어요?","etc","review","false","en vi es id pt-BR ko ja zh fr de","2587c100-2c84-412f-ada5-c299167c8cbf"
"reason","이유 말하기: -아서/어서와 -(으)니까","grammar","review","false","en vi es id pt-BR ko ja zh fr de","5bdca7e9-e348-4901-80d6-cb46ac102fbc"
"diphthongs","이중 모음 ㅘ·ㅝ·ㅟ·ㅢ 읽기","hangul","review","false","en vi es id pt-BR ko ja zh fr de","ad2e7b6f-d1ed-4581-973f-472c097645d4"
"restaurant","식당에서 주문하고 부탁하기: 핵심 어휘 10","vocab","review","false","en vi es id pt-BR ko ja zh fr de","46e3c97d-89d2-49f5-8fc1-aee44b85d063"
"sorethroat","약국에서 감기약 사기","reallife","review","false","en vi es id pt-BR ko ja zh fr de","c413503c-9af2-45ee-bdaf-9819d5b7c30c"
"housing","원룸 광고 두 개, 어느 방이 좋을까?","reading","review","false","en vi es id pt-BR ko ja zh fr de","7df53044-6d41-4f1b-a42a-167e281e8ae8"
"openhours","가게 영업시간 안내판 읽기: 지금 문 열었어요?","etc","review","false","en vi es id pt-BR ko ja zh fr de","7bfa0023-7a55-4ca5-8de6-2e6e0986dcbc"
"futuretense","-(으)ㄹ게요와 -(으)ㄹ 거예요: 약속할 때와 계획을 말할 때","grammar","review","false","en vi es id pt-BR ko ja zh fr de","a638c7e2-5ad7-4715-a52d-b4dada0a478d"
"busarrival","버스 도착 안내판 읽기: 몇 분 후에 와요? 몇 번째 전이에요?","reading","review","false","en vi es id pt-BR ko ja zh fr de","01a596c6-4049-4620-90b0-2a85a50dba4a"
"supermarket","마트에서 장보기: 꼭 필요한 낱말 10개","vocab","review","false","en vi es id pt-BR ko ja zh fr de","d1dab551-98bb-4d83-a373-c5d5e1ea4e6c"
"modifier","명사 꾸미기: -는 / -(으)ㄴ / -(으)ㄹ","grammar","review","false","en vi es id pt-BR ko ja zh fr de","9a1fdd4f-65c2-4909-be62-a207f3dce285"
"yvowels","모음 ㅑ·ㅕ·ㅛ·ㅠ: 짧은 ‘y’를 더해서 읽기","hangul","review","false","en vi es id pt-BR ko ja zh fr de","a4d1406f-2405-45e5-8532-f12039b7d677"
"weather","날씨 앱 읽기: 우산이 필요해요? 마스크가 필요해요?","etc","review","false","en vi es id pt-BR ko ja zh fr de","95ffbca1-4578-4259-875b-8cbf6e13dab1"
"taxi","택시에서: 가 주세요, 세워 주세요","reallife","review","false","en vi es id pt-BR ko ja zh fr de","c54bd0f4-dcd1-4325-a6e8-a5e5a6de04f8"
"weather2","일기 예보 읽기: 내일 우산이 필요해요?","reading","review","false","en vi es id pt-BR ko ja zh fr de","ac516cef-5ef3-47d8-b4c7-0c73ad6166af"
"clothesshop","옷 가게에서 입어 보고 바꾸기","vocab","review","false","en vi es id pt-BR ko ja zh fr de","2c80ab0f-7378-4fa9-a423-bd681f606ac7"
"shsounds","첫소리 ㅅ·ㅆ·ㅎ: 사다? 싸다? 하다?","hangul","review","false","en vi es id pt-BR ko ja zh fr de","55377225-f070-431a-acfd-ea8edee4a4cb"
"bankaccount","은행 창구에서 통장 만들기","vocab","review","false","en vi es id pt-BR ko ja zh fr de","91de46e5-aed6-4876-a06e-45294d29d7ba"
"foodlabel","과자 봉지 뒷면 읽기: 소비기한, 알레르기, 보관 방법","reading","review","false","en vi es id pt-BR ko ja zh fr de","fd119326-9579-47bc-bbfa-2f4fe539f1ef"
"nmrieung","ㄴ·ㅁ·ㄹ·ㅇ으로 시작하는 글자 읽기","hangul","review","false","en vi es id pt-BR ko ja zh fr de","0b8139a6-c7d0-4f5e-9107-c0f8bef03bae"
"wedding","모바일 청첩장 읽기: 언제, 어디로 가요?","reading","review","false","en vi es id pt-BR ko ja zh fr de","04389847-de63-4306-a3ce-942ad67270d2"
"delivery","배달 앱으로 음식 시키기","vocab","review","false","en vi es id pt-BR ko ja zh fr de","c6289532-ddbf-412b-a5cc-8cc2b5174f90"
"wantto","바람 말하기: -고 싶어요와 -고 싶어 해요","grammar","review","false","en vi es id pt-BR ko ja zh fr de","1e0def28-73b4-4301-b10e-498580dacc64"
"fruitmarket","시장 과일 가게에서: 이거 얼마예요?","reallife","review","false","en vi es id pt-BR ko ja zh fr de","503264df-00a9-40cf-b0b3-7c599b946e85"
"clinic","동네 병원 접수대에서: 처음 왔어요","reallife","review","false","en vi es id pt-BR ko ja zh fr de","326ddc10-5e0c-4a6f-afef-a2baf725f782"
"signs","문과 건물 안 표지판 읽기: 미세요? 당기세요?","etc","review","false","en vi es id pt-BR ko ja zh fr de","faddacec-ff1f-4e56-b508-c224fd826122"
"purpose","목적 말하기: -(으)러 가다/오다","grammar","review","false","en vi es id pt-BR ko ja zh fr de","83a41d68-b16e-4e35-86bc-b16a730b0470"
"receipt","카드 영수증 읽기: 얼마를, 어떻게 냈어요?","etc","review","false","en vi es id pt-BR ko ja zh fr de","f8f29472-2d28-4d3e-baf2-aa5d6f1dbe47"
"particles2","은/는과 이/가: 언제 무엇을 쓸까요?","grammar","review","false","en vi es id pt-BR ko ja zh fr de","9b0320a3-cfec-4b2a-be7f-f19938603d0b"
